	Unnamed: 0	사고내용	사고유형	요일	사고발생시간	경도	위도	법정동	인구밀도
799	811	경상사고	차대차	목요일	사고발생 피크 시간	126.8364822956091	37.550754328270806	우장산동	31713
800	812	경상사고	차대차	목요일	사고발생 피크 시간	126.85390095837715	37.55518639216732	화곡6동	22609
801	813	경상사고	차대차	목요일	보통	126.8477417996216	37.543516176508426	화곡본동	35318
802	814	경상사고	차대사람	금요일	보통	126.8523297892847	37.55096850924192	화곡6동	22609
803	815	부상신고사고	차대차	금요일	사고발생 피크 시간	126.8588748166694	37.55343785859536	등촌2동	22199
804	816	경상사고	차대차	금요일	사고발생 피크 시간	126.85217422110505	37.55586195121108	화곡6동	22609
805	817	중상사고	차대차	금요일	사고발생 피크 시간	126.83014669828466	37.55535145560272	발산1동	12439
806	818	경상사고	차대차	금요일	사고발생 피크 시간	126.80766042936278	37.56163027061283	공항동	2896
807	819	경상사고	차대차	금요일	보통	126.84175318141058	37.54227514257315	우장산동	31713
808	820	경상사고	차대차	토요일	보통	126.85777611961522	37.53238547276044	화곡2동	40213
809	821	중상사고	차대차	토요일	보통	126.80230409158403	37.5750647410729	방화2동	3690
810	822	경상사고	차대차	토요일	보통	126.86326588066694	37.53233407892301	화곡4동	25390
811	823	경상사고	차대차	일요일	보통	126.84371535948794	37.57281453566368	가양1동	7318
812	824	경상사고	차대차	월요일	보통	126.85012600142733	37.5531376517214	화곡6동	22609
813	825	경상사고	차대차	월요일	사고발생 피크 시간	126.84485738934416	37.56654754762708	가양1동	7318
814	826	경상사고	차대차	월요일	사고발생 피크 시간	126.80727322914156	37.5618713611566	방화2동	3690
815	827	부상신고사고	차대차	월요일	보통	126.81693766177968	37.55498734599659	공항동	2896
816	828	경상사고	차대차	화요일	보통	126.8617214295428	37.535597630736326	화곡4동	25390
817	829	경상사고	차대차	화요일	사고발생 피크 시간	126.872881928759	37.54907847065884	염창동	24002
818	830	경상사고	차대차	화요일	사고발생 피크 시간	126.83872381441007	37.559726249202775	등촌3동	38878
819	831	경상사고	차대차	화요일	사고발생 피크 시간	126.83763708147096	37.54435225801488	화곡3동	40870
820	832	경상사고	차대차	수요일	보통	126.84984597516274	37.54888176736968	화곡6동	22609
821	833	부상신고사고	차대차	수요일	보통	126.82564550420253	37.55984155402897	공항동	2896
822	834	중상사고	차대차	수요일	보통	126.85224207029724	37.55587133690726	화곡6동	22609
823	835	경상사고	차대차	수요일	보통	126.85989798042203	37.534406996661644	화곡4동	25390
824	836	중상사고	차대차	수요일	사고발생 피크 시간	126.83751751381266	37.55658281582676	발산1동	12439
825	837	경상사고	차대차	수요일	사고발생 피크 시간	126.83832778838828	37.558417084414685	우장산동	31713
826	838	중상사고	차대차	수요일	보통	126.82828072664478	37.55890115461612	발산1동	12439
827	839	중상사고	차대차	목요일	보통	126.85109342611676	37.55254808584349	화곡6동	22609
828	840	중상사고	차대사람	목요일	보통	126.86013335173634	37.53202871627659	화곡4동	25390
829	841	중상사고	차대차	목요일	사고발생 피크 시간	126.8789387754658	37.549047390240936	염창동	24002
830	842	경상사고	차대차	금요일	보통	126.87756107757023	37.5472734985056	염창동	24002
831	843	경상사고	차대차	금요일	사고발생 피크 시간	126.80206293248438	37.589980438639344	방화2동	3690
832	844	중상사고	차대차	토요일	보통	126.85840587112762	37.55927601637696	등촌1동	38181
833	845	중상사고	차대사람	토요일	보통	126.86011002345838	37.53210971111567	화곡4동	25390
834	846	경상사고	차대사람	토요일	보통	126.85315402743292	37.55253235245164	화곡6동	22609
835	847	경상사고	차대차	토요일	보통	126.83581151535428	37.5395919178991	화곡1동	47116
836	848	경상사고	차대차	토요일	사고발생 피크 시간	126.86342838208633	37.55449002901917	등촌1동	38181
837	849	경상사고	차대차	토요일	사고발생 피크 시간	126.80765213110028	37.5600799166487	공항동	2896
838	850	중상사고	차대차	토요일	사고발생 피크 시간	126.85529156749388	37.53438193802425	화곡2동	40213
839	851	사망사고	차대사람	일요일	보통	126.85452777595243	37.55995792519439	등촌3동	38878
840	852	중상사고	차대차	일요일	보통	126.8177753554601	37.586034315873135	방화3동	8990
841	853	경상사고	차대차	월요일	보통	126.81934852347564	37.56750286601811	방화1동	29176
842	854	중상사고	차대차	월요일	보통	126.85088587801629	37.567337975317706	가양2동	14109
843	855	중상사고	차대사람	월요일	사고발생 피크 시간	126.86118919456042	37.55287354295598	등촌1동	38181
844	856	경상사고	차대차	월요일	사고발생 피크 시간	126.84841555876154	37.52853051247848	화곡1동	47116
845	857	경상사고	차대사람	월요일	보통	126.81020995131708	37.56141985916583	공항동	2896
846	858	경상사고	차대사람	월요일	보통	126.83549190860188	37.54626908135399	화곡3동	40870
847	859	경상사고	차대차	화요일	보통	126.84225488718565	37.53026300052709	화곡1동	47116
848	860	경상사고	차대차	화요일	사고발생 피크 시간	126.85122715629228	37.554099131574816	화곡6동	22609
849	861	경상사고	차대차	화요일	사고발생 피크 시간	126.84961041748932	37.57077407824798	가양2동	14109
850	862	경상사고	차대차	수요일	보통	126.8224826585026	37.56027411651648	공항동	2896
851	863	경상사고	차대차	수요일	보통	126.83727890239994	37.55540071809245	우장산동	31713
852	864	중상사고	차대차	수요일	사고발생 피크 시간	126.84896643764591	37.5510852136739	화곡6동	22609
853	865	중상사고	차대차	목요일	보통	126.79986872238976	37.57875481900605	방화2동	3690
854	866	경상사고	차대차	목요일	사고발생 피크 시간	126.807479611535	37.56159315649761	공항동	2896
855	867	중상사고	차대차	목요일	보통	126.8549094608443	37.56821630452998	가양2동	14109
856	868	중상사고	차대사람	금요일	보통	126.80744980001904	37.56603658700877	방화2동	3690
857	869	경상사고	차대차	금요일	사고발생 피크 시간	126.86384354190088	37.55226594676329	등촌1동	38181
858	870	경상사고	차대차	금요일	사고발생 피크 시간	126.8263619726768	37.55571749939311	발산1동	12439
